,siteID,measurementType,storageType,year,month,day,magnification,n,order,phylum,genus,spp,url,idNum
0,1,sus1a,f,2014,7,17,10x,1,null,Chlorophyceae,null,Green algae (with flagella),/Users/maxcaplow/Desktop/images/1_sus1a_2014_7_17_10x_2_00.bmp,2
1,1,sus1a,f,2014,7,17,10x,2,null,Chlorophyceae,null,Green algae (with flagella),/Users/maxcaplow/Desktop/images/1_sus1a_2014_7_17_10x_2_01.bmp,2
2,1,sus1a,f,2014,7,17,10x,2,null,Chlorophyceae,null,Green algae (no flagella),/Users/maxcaplow/Desktop/images/1_sus1a_2014_7_17_10x_3_01.bmp,3
3,1,sus1a,f,2014,7,17,10x,1,null,Chlorophyceae,null,Green algae (with flagella),/Users/maxcaplow/Desktop/images/1_sus1a_2014_7_17_10x_2_02.bmp,2
4,1,sus1a,f,2014,7,17,10x,1,null,Chlorophyceae,null,Green algae (no flagella),/Users/maxcaplow/Desktop/images/1_sus1a_2014_7_17_10x_3_02.bmp,3
5,1,sus1a,f,2014,7,17,10x,1,null,Chlorophyceae,null,Green algae (with flagella),/Users/maxcaplow/Desktop/images/1_sus1a_2014_7_17_10x_2_03.bmp,2
6,1,sus1a,f,2014,7,17,10x,1,null,Chlorophyceae,null,Green algae (with flagella),/Users/maxcaplow/Desktop/images/1_sus1a_2014_7_17_10x_2_05.bmp,2
7,1,sus1a,f,2014,7,17,10x,1,null,Chlorophyceae,null,Green algae (no flagella),/Users/maxcaplow/Desktop/images/1_sus1a_2014_7_17_10x_3_05.bmp,3
8,1,sus1a,f,2014,7,17,10x,1,null,Chlorophyceae,null,Green algae (with flagella),/Users/maxcaplow/Desktop/images/1_sus1a_2014_7_17_10x_2_06.bmp,2
9,1,sus1a,f,2014,7,17,10x,1,null,Chlorophyceae,null,Green algae (with flagella),/Users/maxcaplow/Desktop/images/1_sus1a_2014_7_17_10x_2_07.bmp,2
10,1,sus1a,f,2014,7,17,10x,1,null,Chlorophyceae,null,Green algae (no flagella),/Users/maxcaplow/Desktop/images/1_sus1a_2014_7_17_10x_3_07.bmp,3
11,1,sus1a,f,2014,7,17,10x,1,null,Chlorophyceae,null,Green algae (with flagella),/Users/maxcaplow/Desktop/images/1_sus1a_2014_7_17_10x_2_08.bmp,2
12,1,sus1a,f,2014,7,17,10x,1,null,Chlorophyceae,null,Green algae (with flagella),/Users/maxcaplow/Desktop/images/1_sus1a_2014_7_17_10x_2_09.bmp,2
13,1,sus1a,f,2014,7,17,10x,1,null,Chlorophyceae,null,Green algae (no flagella),/Users/maxcaplow/Desktop/images/1_sus1a_2014_7_17_10x_3_09.bmp,3
14,1,sus1a,f,2014,7,17,20x,1,null,Chlorophyceae,null,Green algae (with flagella),/Users/maxcaplow/Desktop/images/1_sus1a_2014_7_17_20x_2_01.bmp,2
15,1,sus1a,f,2014,7,17,20x,1,null,Chlorophyceae,null,Green algae (no flagella),/Users/maxcaplow/Desktop/images/1_sus1a_2014_7_17_20x_3_02.bmp,3
16,1,sus1a,f,2014,7,17,20x,1,null,Chlorophyceae,null,Green algae (with flagella),/Users/maxcaplow/Desktop/images/1_sus1a_2014_7_17_20x_2_03.bmp,2
17,1,sus1a,f,2014,7,17,20x,2,null,Chlorophyceae,null,Green algae (with flagella),/Users/maxcaplow/Desktop/images/1_sus1a_2014_7_17_20x_2_04.bmp,2
18,1,sus1a,f,2014,7,17,20x,1,null,Chlorophyceae,null,Green algae (no flagella),/Users/maxcaplow/Desktop/images/1_sus1a_2014_7_17_20x_3_04.bmp,3
19,1,sus1a,f,2014,7,17,20x,1,null,Gamophyceae,null,Filamentous green algae,/Users/maxcaplow/Desktop/images/1_sus1a_2014_7_17_20x_4_04.bmp,4
20,1,sus1a,f,2014,7,17,20x,3,null,Chlorophyceae,null,Green algae (no flagella),/Users/maxcaplow/Desktop/images/1_sus1a_2014_7_17_20x_3_05.bmp,3
21,1,sus1a,f,2014,7,17,20x,3,null,Chlorophyceae,null,Green algae (with flagella),/Users/maxcaplow/Desktop/images/1_sus1a_2014_7_17_20x_2_06.bmp,2
22,1,sus1a,f,2014,7,17,20x,1,null,Chlorophyceae,null,Green algae (no flagella),/Users/maxcaplow/Desktop/images/1_sus1a_2014_7_17_20x_3_06.bmp,3
23,1,sus1a,f,2014,7,17,20x,3,null,Chlorophyceae,null,Green algae (no flagella),/Users/maxcaplow/Desktop/images/1_sus1a_2014_7_17_20x_3_08.bmp,3
24,1,sus1a,f,2014,7,17,20x,1,null,Chlorophyceae,null,Green algae (with flagella),/Users/maxcaplow/Desktop/images/1_sus1a_2014_7_17_20x_2_09.bmp,2
25,1,sus1a,f,2014,7,17,20x,4,null,Chlorophyceae,null,Green algae (no flagella),/Users/maxcaplow/Desktop/images/1_sus1a_2014_7_17_20x_3_09.bmp,3
26,1,sus1a,f,2014,7,17,20x,2,null,Chlorophyceae,null,Green algae (no flagella),/Users/maxcaplow/Desktop/images/1_sus1a_2014_7_17_20x_3_00.bmp,3
27,1,sus1a,f,2014,7,17,40x,1,null,Chlorophyceae,null,Green algae (no flagella),/Users/maxcaplow/Desktop/images/1_sus1a_2014_7_17_40x_3_01.bmp,3
